Date/Time,1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 01/01  01:00:00,1356776.0036002137,0.0,0.0,273039.9502388982,0.0,0.0,298815.4353023681,0.0,0.0,844375.4932240839,0.0,0.0,427122.45356721454,0.0,0.0,377339.464435391,0.0,0.0,1283299.3802484518,0.0,0.0,487794.27901637554,0.0,0.0,1255532.0840880175,0.0,0.0,1063159.1855839607,0.0,0.0,1152291.4345227503,0.0,0.0,945984.4011365159,0.0,0.0,2583698.33210566,0.0,0.0 
 01/01  02:00:00,1349342.123431385,0.0,0.0,272820.44563754776,0.0,0.0,301046.0701710561,0.0,0.0,837936.5214068351,0.0,0.0,425644.6270713821,0.0,0.0,379825.4689323372,0.0,0.0,1291258.363560043,0.0,0.0,494148.26884955645,0.0,0.0,1286117.6333986283,0.0,0.0,1069150.1242889934,0.0,0.0,1166285.0497202745,0.0,0.0,945544.1252355704,0.0,0.0,2596894.1845538197,0.0,0.0 
 01/01  03:00:00,1377076.800063768,0.0,0.0,278129.8508100278,0.0,0.0,310201.6391299314,0.0,0.0,853800.9565049717,0.0,0.0,433346.1430617507,0.0,0.0,391679.93129816896,0.0,0.0,1332101.2516701883,0.0,0.0,511577.353653565,0.0,0.0,1346906.6697573082,0.0,0.0,1098986.437564876,0.0,0.0,1207183.3390543354,0.0,0.0,968054.5540486216,0.0,0.0,2677902.3931334326,0.0,0.0 
 01/01  04:00:00,1424964.3861714453,0.0,0.0,286626.30181770195,0.0,0.0,320678.17995375727,0.0,0.0,883276.5208023436,0.0,0.0,446762.1738619541,0.0,0.0,408489.6382284324,0.0,0.0,1394684.6908822346,0.0,0.0,530276.5626430351,0.0,0.0,1426512.0333996948,0.0,0.0,1146916.0598277287,0.0,0.0,1265997.0466863401,0.0,0.0,995950.3634523177,0.0,0.0,2802793.806429312,0.0,0.0 
 01/01  05:00:00,1457109.2607893557,0.0,0.0,292233.43583737453,0.0,0.0,327740.38100521633,0.0,0.0,902786.2050658219,0.0,0.0,455741.54485288315,0.0,0.0,420344.76494237536,0.0,0.0,1436647.221405292,0.0,0.0,543453.9053645682,0.0,0.0,1481066.354984608,0.0,0.0,1177873.545853007,0.0,0.0,1304728.295063001,0.0,0.0,1013686.4878010508,0.0,0.0,2882241.4069492673,0.0,0.0 
 01/01  06:00:00,1481393.4946847253,0.0,0.0,295279.79173664056,0.0,0.0,332459.65706355835,0.0,0.0,915115.8038750655,0.0,0.0,461042.5984150903,0.0,0.0,428737.3328966826,0.0,0.0,1462495.6528529422,0.0,0.0,553418.6159891757,0.0,0.0,1517134.822542116,0.0,0.0,1194643.4488543516,0.0,0.0,1327056.0758188337,0.0,0.0,1022071.047479092,0.0,0.0,2928583.673021028,0.0,0.0 
 01/01  07:00:00,1513829.2453220391,0.0,0.0,299703.01467161276,0.0,0.0,338066.0673353528,0.0,0.0,932756.0320681542,0.0,0.0,468669.15589225746,0.0,0.0,439102.6831478385,0.0,0.0,1496600.707318861,0.0,0.0,564458.072660064,0.0,0.0,1559930.1499774815,0.0,0.0,1217747.0999117736,0.0,0.0,1355861.5097941505,0.0,0.0,1033976.7207052014,0.0,0.0,2991685.1138930246,0.0,0.0 
 01/01  08:00:00,1537513.5466618529,0.0,0.0,302460.157875852,0.0,0.0,343209.8484558366,0.0,0.0,945044.6378470013,0.0,0.0,474099.22632287414,0.0,0.0,446663.32487705274,0.0,0.0,1514724.0757574418,0.0,0.0,575451.4681677219,0.0,0.0,1573398.6916863783,0.0,0.0,1222003.8607628252,0.0,0.0,1363172.2087716837,0.0,0.0,1040254.3321775992,0.0,0.0,2999243.254958413,0.0,0.0 
 01/01  09:00:00,1538500.7668353263,0.0,0.0,300683.8441339694,0.0,0.0,345299.71150294977,0.0,0.0,942264.0158111659,0.0,0.0,472927.26738617657,0.0,0.0,447033.2306120442,0.0,0.0,1507964.89461548,0.0,0.0,582970.2571327,0.0,0.0,1564484.097634424,0.0,0.0,1207909.2143237344,0.0,0.0,1352945.075859822,0.0,0.0,1043918.6379113348,0.0,0.0,2965188.7252371716,0.0,0.0 
 01/01  10:00:00,1526157.936310558,0.0,0.0,296207.06624053157,0.0,0.0,343351.93271609506,0.0,0.0,930239.3272781363,0.0,0.0,467542.8350432253,0.0,0.0,443059.7586634129,0.0,0.0,1481191.3607441112,0.0,0.0,584543.9068664766,0.0,0.0,1529544.4419044543,0.0,0.0,1175692.8649309708,0.0,0.0,1322135.9567274489,0.0,0.0,1035000.3685101587,0.0,0.0,2883819.9014590397,0.0,0.0 
 01/01  11:00:00,1449802.5570353246,0.0,0.0,274616.7678889622,0.0,0.0,327596.58364133583,0.0,0.0,870083.0724082692,0.0,0.0,439681.6078317003,0.0,0.0,415787.96429602534,0.0,0.0,1342869.8842933467,0.0,0.0,571220.3063857848,0.0,0.0,1335940.478520658,0.0,0.0,1027856.5828630315,0.0,0.0,1164137.3820441617,0.0,0.0,969396.6955804381,0.0,0.0,2496695.998722433,0.0,0.0 
