Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,4.441666666666666,-3.5833333333333335,1.313198248522535,0.002862483440713354,55.666666666666664,101963.33333333333,2.6666666666666665,103.41666666666667,-5.662997031815223,290.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,9.416666666666666,5.0,11645.79190684681,1.2739883154740566,20.430871464517008,-78.54053797021923,176.70842991967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  02:00:00,5.3999999999999995,-3.0,2.0111909289217134,0.0029748126260179465,54.0,101774.16666666667,4.466666666666667,338.0,-5.816532546680842,289.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,9.0,5.0,12895.826039741458,1.2670107473107415,60.54279005978248,-70.72206284267666,161.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  03:00:00,5.05,-2.7666666666666675,1.931880638535331,0.0030598390474901615,56.916666666666664,101770.0,3.8666666666666667,338.0,-5.451931249090364,291.1666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,9.583333333333334,5.0,12755.627918476413,1.2683806881340915,78.69613380176914,-59.01822434497447,146.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  04:00:00,4.566666666666666,-2.6,1.7102749923834413,0.0030980985482011937,59.583333333333336,101758.33333333333,3.725,338.0,-5.260499215095706,292.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,10.0,5.0,12363.230376263682,1.2703644963109526,88.93379830784494,-46.619169554683374,131.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  05:00:00,4.575,-2.6,1.7051040604141854,0.003091624989831091,59.416666666666664,101744.16666666667,4.041666666666667,338.0,-5.126831263307963,292.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,10.0,5.0,12355.405531935357,1.2701626211461023,96.78159746090564,-34.15829507116394,116.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  06:00:00,4.583333333333333,-4.583333333333333,1.1173960384216113,0.00267599022763477,51.416666666666664,101745.83333333333,3.125,311.75,-5.031435730263695,293.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,10.0,5.0,11320.829207135117,1.2709906071157842,103.94100499702297,-21.881765199124278,101.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  07:00:00,4.5,-4.7749999999999995,0.9909537580666804,0.002619997515076987,50.666666666666664,101767.5,2.5,279.5833333333333,-5.165008510779974,292.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,8.049999999999999,10.0,5.0,11096.153585069575,1.271756546327487,111.21424783368523,-9.982003356459858,86.70842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.975210834821615 
 01/01  08:00:00,4.325,-3.6666666666666665,1.218585834080212,0.002847525212635836,55.75,101803.33333333333,2.5,270.0,-5.260499215095706,292.0,11.0,0.0,0.0,0.0,2.2,18.0,13.0,16.0,8.049999999999999,10.0,5.0,11490.312504831032,1.2725432675941002,119.16392864221734,1.315763977901569,71.70842991967913,0.0,0.0,1240.44836885974,0.0,0.0,75.00072249334731,0.0,0.6666657910947081,0.13543696713974926,0.0,1.0,14.975210834821615 
 01/01  09:00:00,4.2,-2.975,1.3721391165813193,0.003003364864536759,59.333333333333336,101860.83333333333,2.5,283.4166666666667,-5.260499215095706,292.0,21.166666666666668,0.0,0.0,0.0,4.233333333333333,18.0,13.0,16.0,8.049999999999999,10.0,5.0,11755.01236579727,1.2735180827756292,128.31382666603716,11.70078990797927,56.70842991967914,0.0,0.0,2594.581013458263,0.0,0.0,122.44632649618701,12.081776820967852,0.999998704874011,0.07571994849830062,0.0,1.0,14.975210834821615 
 01/01  10:00:00,4.55,-2.6,1.7164657451768865,0.003102283366037208,59.833333333333336,101925.0,2.908333333333333,293.0,-5.126831263307963,292.5833333333333,33.0,0.0,0.0,0.0,6.599999999999999,18.0,13.0,16.0,8.049999999999999,10.0,5.0,12356.888613138688,1.2725131985416305,139.18970846552034,20.725795394370575,41.70842991967914,0.0,0.0,4134.119551531017,0.0,0.0,125.65362638127152,40.24095816702435,0.9999988587371348,0.06497249331851894,0.0,1.0,14.975210834821615 
