month,date,hour,S,E,N,W
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,2.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,3.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,4.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,5.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,6.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,7.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,8.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,9.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,10.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,11.0,0.0,0.0,0.0,0.0
1.0,1.0,12.0,0.0,0.0,0.0,0.0
1.0,1.0,13.0,0.0,0.0,0.0,0.0
1.0,1.0,14.0,0.0,0.0,0.0,0.0
1.0,1.0,15.0,9.606854355249119e-05,6.956027626871882e-06,5.9985202598849234e-06,6.20753075391229e-05
1.0,1.0,16.0,0.00010009298373749102,1.0844015825682925e-05,5.803156766697091e-06,0.00010716046566545651
1.0,1.0,17.0,0.0,0.0,0.0,0.0
1.0,1.0,18.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,19.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,20.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,21.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,22.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,23.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,24.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,1.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,3.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,4.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,5.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,6.0,-0.0,-0.0,-0.0,-0.0
