Date/Time,1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 01/01  01:00:00,937799.0442835343,0.0,0.0,189219.13794800625,0.0,0.0,171178.56773524603,0.0,0.0,591532.6516356594,0.0,0.0,295804.72554442927,0.0,0.0,234094.741420553,0.0,0.0,587704.9482707784,0.0,0.0,257489.94220494328,0.0,0.0,674208.842603002,0.0,0.0,623464.5751879896,0.0,0.0,596495.3363429024,0.0,0.0,600477.7772529351,0.0,0.0,1628261.816329561,0.0,0.0 
 01/01  02:00:00,1047580.443157589,0.0,0.0,210767.24459850063,0.0,0.0,193759.70416923641,0.0,0.0,658688.2491678392,0.0,0.0,328290.7862932103,0.0,0.0,272266.7500766029,0.0,0.0,777457.6646037456,0.0,0.0,293111.8002253465,0.0,0.0,885354.0552992623,0.0,0.0,790172.0798167703,0.0,0.0,765338.1596218903,0.0,0.0,663583.1746520523,0.0,0.0,1980519.9640722298,0.0,0.0 
 01/01  03:00:00,1147741.8341547092,0.0,0.0,229063.9141256769,0.0,0.0,214084.33038330052,0.0,0.0,719441.9237892813,0.0,0.0,357288.2053486583,0.0,0.0,306117.44397993304,0.0,0.0,930027.4786845422,0.0,0.0,326573.5170715192,0.0,0.0,1051315.2125981704,0.0,0.0,916530.6814127939,0.0,0.0,903458.1916135169,0.0,0.0,715206.8188815906,0.0,0.0,2260257.1809656606,0.0,0.0 
 01/01  04:00:00,1250499.524179003,0.0,0.0,247417.9585652008,0.0,0.0,234439.31832137104,0.0,0.0,781950.3285286853,0.0,0.0,386877.76713685016,0.0,0.0,339913.0148419604,0.0,0.0,1080894.6482300335,0.0,0.0,360456.7271948187,0.0,0.0,1210746.9949956483,0.0,0.0,1030363.705477684,0.0,0.0,1034854.0009605465,0.0,0.0,767712.2026316109,0.0,0.0,2529294.776816844,0.0,0.0 
 01/01  05:00:00,1353377.0506462972,0.0,0.0,265070.36138217815,0.0,0.0,253176.55865151965,0.0,0.0,844079.2127531236,0.0,0.0,416081.5128573679,0.0,0.0,372669.9311921563,0.0,0.0,1223255.4703512571,0.0,0.0,392227.48354560585,0.0,0.0,1359882.3402705246,0.0,0.0,1133414.3561034137,0.0,0.0,1156725.746555111,0.0,0.0,815333.8835976096,0.0,0.0,2776466.4088659217,0.0,0.0 
 01/01  06:00:00,1461817.2519123177,0.0,0.0,285161.0817287336,0.0,0.0,276833.42876227805,0.0,0.0,911633.6663137106,0.0,0.0,448195.18316512555,0.0,0.0,407955.17612029065,0.0,0.0,1371522.4667388252,0.0,0.0,431319.15260362835,0.0,0.0,1518329.480128418,0.0,0.0,1242037.8514251688,0.0,0.0,1286994.0224724126,0.0,0.0,879836.9031176497,0.0,0.0,3045157.0767151415,0.0,0.0 
 01/01  07:00:00,1572448.9884190834,0.0,0.0,305172.5318141413,0.0,0.0,299629.1149151364,0.0,0.0,979837.3186247273,0.0,0.0,480434.8690172893,0.0,0.0,442959.99927464407,0.0,0.0,1515965.543718836,0.0,0.0,469041.1080440935,0.0,0.0,1673021.3721824659,0.0,0.0,1348628.3216421385,0.0,0.0,1414086.3878607787,0.0,0.0,943656.7951311116,0.0,0.0,3310540.3784365924,0.0,0.0 
 01/01  08:00:00,1627105.0012770116,0.0,0.0,310589.39117458265,0.0,0.0,309406.19504276593,0.0,0.0,1005241.1353049563,0.0,0.0,492799.69840904186,0.0,0.0,457714.42072855204,0.0,0.0,1457689.8892803327,0.0,0.0,490970.44298395724,0.0,0.0,1434797.449246196,0.0,0.0,1170557.6482615324,0.0,0.0,1175709.572722909,0.0,0.0,841070.6936079073,0.0,0.0,2677814.0114462217,0.0,0.0 
 01/01  09:00:00,1460956.3161686622,0.0,0.0,274054.67428359983,0.0,0.0,292383.6532465422,0.0,0.0,881161.2313299224,0.0,0.0,440147.1493970378,0.0,0.0,406473.5044822536,0.0,0.0,847302.0472101447,0.0,0.0,481787.7707558072,0.0,0.0,314800.4016094139,0.0,0.0,303042.1679659303,0.0,0.0,211746.9659491539,0.0,0.0,524818.4642624792,0.0,0.0,410247.1984464551,0.0,0.0 
 01/01  10:00:00,1130070.4772368723,0.0,0.0,213899.35085976034,0.0,0.0,261279.82962737538,0.0,0.0,654118.8094281683,0.0,0.0,342175.18111341336,0.0,0.0,314086.7024752105,0.0,0.0,126273.58527877714,0.0,0.0,453334.3019985068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305488.5694234893,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,772514.1497633678,0.0,0.0,148615.79364959942,0.0,0.0,221328.1121421066,0.0,0.0,422129.27511533,0.0,0.0,235396.06951148674,0.0,0.0,218856.63765786972,0.0,0.0,0.0,0.0,0.0,412202.6024162853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217826.41551556753,0.0,0.0,0.0,0.0,0.0 
