Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,6.25,-0.7666666666666666,3.337071965990424,0.0036186270463269402,61.583333333333336,101439.16666666667,1.925,300.5,-15.525699080332847,249.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.8333333333333335,5.0,15372.397212528354,1.2577029042691574,24.412388603373387,-80.31345855588135,176.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  02:00:00,5.825,-3.3333333333333335,2.161701830740715,0.0029294082668592943,51.416666666666664,101350.83333333333,2.8000000000000003,338.0,-18.344114382954416,239.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.0,5.0,13211.193509709117,1.2599101593705748,66.1703989174493,-71.4946130297631,161.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  03:00:00,5.408333333333334,-3.2666666666666675,1.9586700204096406,0.002950096383959582,53.333333333333336,101397.5,2.8000000000000003,338.0,-18.499768706959657,238.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.0,5.0,12842.174539563515,1.2623340418848163,82.20008161262615,-59.211923104108315,146.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  04:00:00,4.908333333333333,-3.1,1.7472986137719726,0.0029999951526170267,56.166666666666664,101433.33333333333,2.3916666666666666,324.5833333333333,-18.923714688495267,236.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.0,5.0,12462.270465823816,1.2649499084359506,91.17463420357979,-46.47406447358366,131.53842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  05:00:00,4.583333333333333,-3.1,1.5725827718129064,0.0030052196425931314,57.583333333333336,101485.0,2.1,315.0,-19.30464429043082,235.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.0,5.0,12146.995461629005,1.2670643116137186,98.21734377959287,-33.752780328029324,116.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  06:00:00,3.6833333333333336,-2.5749999999999997,1.226412703779981,0.003124199672515033,63.833333333333336,101515.83333333333,2.1,328.4166666666667,-19.89102346323109,233.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.0,5.0,11535.95000335105,1.2713302368672448,104.79617982453624,-21.241990750124188,101.53842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  07:00:00,2.9250000000000003,-2.1999999999999997,0.9137183442107455,0.0032095580186336306,69.16666666666667,101584.16666666667,2.1,338.0,-20.389866021689702,231.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.0,5.0,10983.51981860171,1.2755040131966935,111.61607343705914,-9.111572769530346,86.53842991967912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  08:00:00,2.858333333333333,-1.9666666666666668,0.9489739874696294,0.003256887333008497,70.58333333333333,101688.33333333333,1.6333333333333335,324.5833333333333,-20.503681005645547,231.0,30.666666666666668,184.66666666666666,0.0,0.0,9.15820597767558,18.0,13.0,16.0,10.22,2.0,5.0,11034.753940068491,1.2770234016829405,119.20253959566428,2.424947730678481,71.53842991967912,0.0,0.0,3866.2612344394,684.8807255494052,7331.778916685762,83.55351071683509,24.66819130832783,1.5589742369999111,0.2784908119534035,0.0,1.0,16.72953690814089 
 01/01  09:00:00,4.008333333333334,-1.8,1.6547403265026357,0.003286792499035277,65.75,101724.16666666667,1.3,328.4166666666667,-20.185428103222957,232.16666666666666,67.33333333333333,526.0,0.0,0.0,38.05489307948387,18.0,13.0,16.0,10.22,1.4166666666666667,5.0,12272.292208060479,1.272116928087222,128.0792780941804,13.060939734090766,56.538429919679125,0.0,0.0,9644.542800923547,9758.248759625747,40838.52207864078,143.09296547541,76.20068515309782,3.2558198610673537,0.21756408750933032,0.0,1.0,16.72953690814089 
 01/01  10:00:00,6.316666666666666,-1.8,2.9593089514586883,0.0032958851523571344,56.166666666666664,101714.16666666667,1.3,290.8333333333333,-18.547009868872987,238.25,60.333333333333336,796.1666666666666,0.0,0.0,72.90835950350323,18.0,13.0,16.0,10.22,1.0,5.0,14628.75340763719,1.261471240885708,138.8053323009257,22.341513679164038,41.538429919679125,0.0,0.0,9237.734977504502,28897.441657233703,75474.48379904249,153.14003778650147,94.67137824011343,5.895288847330296,0.11385772740698206,0.0,1.0,16.72953690814089 
 01/01  11:00:00,8.683333333333334,-1.8,4.25304552999359,0.003308372389217854,47.916666666666664,101675.0,2.5833333333333335,0.0,-16.175704520862194,247.25,69.5,884.5,0.0,0.0,101.35725771042205,18.0,13.0,16.0,10.22,1.0,5.0,17052.808517085028,1.2503693107568996,151.84868748446397,29.619238319921724,26.53842991967913,0.0,0.0,10318.475568550299,43083.61651107662,87119.57045046914,148.512712768876,98.48772764631143,6.741047299231769,0.10018503841986381,0.0,1.0,16.72953690814089 
 01/01  12:00:00,10.358333333333333,-1.8,5.117540626086264,0.0033013744563834915,42.666666666666664,101603.33333333333,3.091666666666667,347.1666666666667,-14.310773559961556,254.5,75.41666666666667,912.8333333333334,0.0,0.0,117.44095792042253,18.0,13.0,16.0,10.22,1.5833333333333333,5.0,18728.57312855886,1.2421156080681364,167.19783211907176,34.09940366053156,11.538429919679126,0.0,0.0,10999.73781393982,51020.48583419982,90997.29892606148,145.85324959300502,99.68527293687401,7.161389875427179,0.09590225478873858,0.0,1.0,16.72953690814089 
 01/01  13:00:00,11.25,-1.8,5.597600234767218,0.0033215247779340706,40.416666666666664,101552.5,2.8000000000000003,311.75,-13.236027951897777,258.75,69.91666666666667,924.25,0.0,0.0,120.26770246825127,18.0,13.0,16.0,10.22,2.0,5.0,19680.852481700425,1.2375599565357158,183.88081281849364,35.096193785698006,-3.4615700803208735,0.0,0.0,10208.323396909062,53119.50689340874,92385.10110941833,146.01008598946143,99.95622527564923,7.90768436283759,0.08666057935262002,0.0,1.0,16.72953690814089 
 01/01  14:00:00,11.966666666666667,-0.8666666666666667,6.240675809231765,0.003552619457549668,41.166666666666664,101475.83333333333,2.8000000000000003,293.0,-12.340994846583735,262.3333333333333,77.5,880.9166666666666,0.0,0.0,110.01790402823751,18.0,13.0,16.0,10.22,1.4166666666666667,5.0,20988.54709312049,1.2330624124823863,200.13682370763186,32.43025555934451,-18.46157008032087,0.0,0.0,11352.266216886592,46995.654674056124,87596.46066295503,146.47833321932444,99.43518917177312,6.538099479444356,0.10309404179578835,0.0,1.0,16.72953690814089 
 01/01  15:00:00,12.65,-0.6666666666666666,6.610130427659752,0.003581882327848109,39.666666666666664,101383.33333333333,2.8000000000000003,279.5833333333333,-11.49569897520747,265.75,74.25,810.8333333333334,0.0,0.0,87.49710616793236,18.0,13.0,16.0,10.22,1.5833333333333333,5.0,21753.509557129193,1.2289345931855948,214.47628206446043,26.5581131065703,-33.461570080320875,0.0,0.0,11113.093597025114,35430.07985236476,79020.51009201295,149.71053956244825,97.41294287054338,5.531897547999857,0.1184797440578086,0.0,1.0,16.72953690814089 
 01/01  16:00:00,12.141666666666666,-0.125,6.531860358189447,0.003724511378964001,42.666666666666664,101373.33333333333,3.2083333333333335,270.0,-11.18830284301032,267.0,61.333333333333336,679.7500000000001,0.0,0.0,55.23305932653403,18.0,13.0,16.0,10.22,2.0,5.0,21599.202267011802,1.2307237424740471,226.41009268964504,18.263123461485943,-48.461570080320875,0.0,0.0,9458.443682424715,19388.523227661644,60962.864452070244,154.31855453655635,89.39391548749613,4.652852761754317,0.13956130488927407,0.0,1.0,16.72953690814089 
 01/01  17:00:00,10.9,0.9083333333333333,6.29045201307541,0.004028325768974657,50.083333333333336,101425.0,3.5,270.0,-11.618860379312139,265.25,40.833333333333336,444.5833333333333,0.0,0.0,22.13645191430869,18.0,13.0,16.0,10.22,2.0,5.0,21108.93766735682,1.2361332623310053,236.2132909279666,8.28872750423989,-63.46157008032085,0.0,0.0,6139.491621844326,4835.576420340681,29040.265910231003,149.49622063025114,61.64366273685608,3.7022082509778027,0.20845104760817504,0.0,1.0,16.72953690814089 
 01/01  18:00:00,9.758333333333335,1.2,5.840068336030716,0.0041215451825521955,55.333333333333336,101537.5,3.091666666666667,283.4166666666667,-12.36150827128671,262.25,9.5,42.91666666666666,0.0,0.0,2.099610522826092,18.0,13.0,16.0,10.22,2.0,5.0,20188.068820573182,1.2423135199379556,244.42659230617974,-2.8090980918118373,-78.46157008032084,0.0,0.0,1141.1957054374052,20.68071422048059,604.9945482371753,39.927187921502785,3.5242400868184975,0.6384426979333978,0.18499745495087275,0.0,1.0,16.72953690814089 
 01/01  19:00:00,8.658333333333333,1.0250000000000001,5.206886811014791,0.0040594515055254205,58.75,101635.0,2.8000000000000003,305.8333333333333,-12.818257470214727,260.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,2.5833333333333335,5.0,18918.03909917276,1.2484838359916581,251.5962734952892,-14.650993698141653,-93.46157008032087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  20:00:00,8.083333333333334,1.075,4.917490498635954,0.0040633066614305345,61.166666666666664,101677.5,2.3916666666666666,315.0,-12.922423559710637,260.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,3.0,5.0,18345.59784118386,1.251550082294367,258.2350728160743,-26.97972096642491,-108.46157008032087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  21:00:00,8.0,1.6083333333333334,5.064863870739912,0.004210354230307881,63.75,101719.16666666667,1.6333333333333335,315.0,-12.485901614053821,261.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,3.0,5.0,18631.17801271764,1.2521398966867083,264.9167741301322,-39.60806271031503,-123.46157008032084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  22:00:00,7.591666666666666,2.0749999999999997,5.047195287594447,0.004362909006623992,67.91666666666667,101710.83333333333,1.7666666666666666,281.25,-12.030431710676993,263.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,3.0,5.0,18601.34347471393,1.2535534627037344,272.5731208568572,-52.36702434683577,-138.46157008032083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  23:00:00,7.066666666666666,2.1999999999999997,4.836036206109478,0.0044123098518917166,71.16666666666667,101690.0,1.6333333333333335,0.0,-11.927271267638332,264.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,3.5833333333333335,5.0,18193.75401685477,1.2555455185778044,283.6418663912061,-64.99711791077739,-153.46157008032083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/01  24:00:00,6.7250000000000005,2.375,4.72712193918376,0.004468546445497137,73.75,101649.16666666667,0.9500000000000001,294.6666666666667,-11.78311986673316,264.5833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,4.0,5.0,17988.974590614896,1.2564605193822167,309.1053262316994,-76.48652402257314,-168.46157008032083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.72953690814089 
 01/02  01:00:00,6.191666666666666,2.5,4.508686349697101,0.0045189328610659545,77.33333333333333,101596.66666666667,0.7000000000000001,274.25,-11.68025186283478,265.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,10.22,4.0,5.0,17575.22538462532,1.2581085425269218,24.119601872100617,-80.267601950034,176.65455051315715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.682499997360114 
