month,date,hour,S,E,N,W
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,2.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,3.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,4.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,5.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,6.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,7.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,8.0,0.0,0.0,0.0,0.0
1.0,1.0,9.0,0.0,0.0,0.0,0.0
1.0,1.0,10.0,0.0,0.0,0.0,0.0
1.0,1.0,11.0,0.0,0.0,0.0,0.0
1.0,1.0,12.0,7.963888136964896e-06,1.420685340499245e-06,4.5058752629100567e-07,3.816335298178051e-07
1.0,1.0,13.0,0.0,0.0,0.0,0.0
1.0,1.0,14.0,0.0,0.0,0.0,0.0
1.0,1.0,15.0,0.00014841832283376673,8.606822588981104e-06,7.516852777216969e-06,9.680721789729631e-05
1.0,1.0,16.0,0.0,0.0,0.0,0.0
1.0,1.0,17.0,0.0,0.0,0.0,0.0
1.0,1.0,18.0,-0.0,-0.0,-0.0,0.0
1.0,1.0,19.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,20.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,21.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,22.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,23.0,-0.0,-0.0,-0.0,-0.0
1.0,1.0,24.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,1.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,2.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,3.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,4.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,5.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,6.0,-0.0,-0.0,-0.0,-0.0
1.0,2.0,7.0,-0.0,-0.0,-0.0,-0.0
