Date/Time,1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 01/01  01:00:00,1650579.4146697507,0.0,0.0,315301.43864305195,0.0,0.0,345409.34917685844,0.0,0.0,1022436.1249744028,0.0,0.0,501089.35287171474,0.0,0.0,467308.9508362902,0.0,0.0,1673898.266037991,0.0,0.0,565858.4579741316,0.0,0.0,1706005.451434102,0.0,0.0,1385527.7438425715,0.0,0.0,1484301.3482464317,0.0,0.0,1057995.666245339,0.0,0.0,3341090.2316413745,0.0,0.0 
 01/01  02:00:00,1589101.239888726,0.0,0.0,306679.4006567999,0.0,0.0,346578.6269649955,0.0,0.0,979849.1889650468,0.0,0.0,485733.2983109919,0.0,0.0,454421.37839939387,0.0,0.0,1589976.9685483328,0.0,0.0,574697.2829757872,0.0,0.0,1620496.7138902708,0.0,0.0,1301748.9172915833,0.0,0.0,1411182.3004155254,0.0,0.0,1047074.2442921624,0.0,0.0,3138155.6529168957,0.0,0.0 
 01/01  03:00:00,1605332.1559912392,0.0,0.0,310104.4356591682,0.0,0.0,353674.0683171056,0.0,0.0,984843.1818664791,0.0,0.0,489731.3207069804,0.0,0.0,461680.5219315847,0.0,0.0,1593777.8402771691,0.0,0.0,590434.1101658138,0.0,0.0,1637699.0056715757,0.0,0.0,1294020.7496684673,0.0,0.0,1417538.3254187736,0.0,0.0,1064989.9954820974,0.0,0.0,3143430.7081419593,0.0,0.0 
 01/01  04:00:00,1640559.4420833779,0.0,0.0,317058.7841266265,0.0,0.0,362115.4123982202,0.0,0.0,1004772.2312575228,0.0,0.0,499960.1256137335,0.0,0.0,474290.42213726474,0.0,0.0,1626874.5484380552,0.0,0.0,606730.7077616523,0.0,0.0,1681285.5281423964,0.0,0.0,1313741.8210850533,0.0,0.0,1449038.1800460997,0.0,0.0,1087816.1272586589,0.0,0.0,3206732.8472266262,0.0,0.0 
 01/01  05:00:00,1670838.7043024087,0.0,0.0,323628.0057008867,0.0,0.0,371197.8026407829,0.0,0.0,1023111.5588023096,0.0,0.0,509318.2934460753,0.0,0.0,485632.1030880677,0.0,0.0,1660192.4139244931,0.0,0.0,623078.9110374543,0.0,0.0,1726279.4341716468,0.0,0.0,1337720.3756263943,0.0,0.0,1482737.2674539678,0.0,0.0,1114687.4339833583,0.0,0.0,3276357.8026953796,0.0,0.0 
 01/01  06:00:00,1695518.1278153162,0.0,0.0,327377.4604328524,0.0,0.0,375998.6875137971,0.0,0.0,1035897.4743102454,0.0,0.0,515297.7854063913,0.0,0.0,493622.77042712545,0.0,0.0,1681574.5799576263,0.0,0.0,632776.6368862948,0.0,0.0,1755753.0088547952,0.0,0.0,1351217.80003638,0.0,0.0,1501968.8767713571,0.0,0.0,1125756.2549134996,0.0,0.0,3317379.857274612,0.0,0.0 
 01/01  07:00:00,1716335.425172043,0.0,0.0,331385.3658031822,0.0,0.0,381252.6868865088,0.0,0.0,1048095.5560724816,0.0,0.0,521379.6182514364,0.0,0.0,501176.9718271126,0.0,0.0,1703398.7211002428,0.0,0.0,642751.2908049813,0.0,0.0,1784578.0313159428,0.0,0.0,1365705.0574116558,0.0,0.0,1522520.9817501744,0.0,0.0,1139293.5748215315,0.0,0.0,3359610.964782455,0.0,0.0 
 01/01  08:00:00,1702967.9567649367,0.0,0.0,326124.4853083698,0.0,0.0,380497.0526875347,0.0,0.0,1034305.9264875512,0.0,0.0,515450.0631963695,0.0,0.0,496042.65571785916,0.0,0.0,1552245.7736945918,0.0,0.0,647214.6999545718,0.0,0.0,1440688.3039766052,0.0,0.0,1115607.1738691044,0.0,0.0,1203758.0777482851,0.0,0.0,1014640.1315084827,0.0,0.0,2566772.5405040486,0.0,0.0 
 01/01  09:00:00,1538806.849496971,0.0,0.0,288710.9088478326,0.0,0.0,357282.39787172526,0.0,0.0,916349.7417752843,0.0,0.0,462950.30296269583,0.0,0.0,442824.48313580814,0.0,0.0,1020721.9442780247,0.0,0.0,626397.4564163929,0.0,0.0,467306.8141585479,0.0,0.0,398162.97274627635,0.0,0.0,377168.4398400498,0.0,0.0,768854.665350088,0.0,0.0,630705.9409404281,0.0,0.0 
 01/01  10:00:00,1307990.5632643008,0.0,0.0,238984.64056949073,0.0,0.0,325789.92991428706,0.0,0.0,753251.0608522317,0.0,0.0,389102.564268184,0.0,0.0,371296.4206897356,0.0,0.0,561487.9061345862,0.0,0.0,595994.2022464406,0.0,0.0,0.0,0.0,0.0,4188.114087669398,0.0,0.0,0.0,0.0,0.0,682451.125802351,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,1168197.6509002121,0.0,0.0,204440.61335153002,0.0,0.0,300001.8142545846,0.0,0.0,651351.2086082465,0.0,0.0,338402.6963010618,0.0,0.0,327515.05040763336,0.0,0.0,449009.1674802583,0.0,0.0,569217.3718354481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723007.8440064815,0.0,0.0,0.0,0.0,0.0 
