Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.6416666666666657,-4.516666666666666,0.6423774803448808,0.002748214339597207,56.333333333333336,101186.66666666667,3.216666666666667,298.3333333333333,-12.241145150288938,263.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,6.5,5.0,10550.838722166478,1.2681720800116236,32.83673472381606,-75.91039223767149,171.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  02:00:00,4.25,-5.016666666666667,0.8210789713375494,0.0026407732035968255,51.5,100814.16666666667,3.658333333333333,270.0,-7.349013202905894,283.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,9.0,5.0,10895.831000274155,1.2609368741217375,66.0511878356567,-66.45475693832196,156.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  03:00:00,4.116666666666666,-4.308333333333334,0.9358428329760171,0.0027743445666953697,54.583333333333336,100815.83333333333,2.2666666666666666,283.4166666666667,-7.349013202905894,283.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,9.0,5.0,11096.294506950953,1.2612940327948892,81.11439977462906,-54.64466573516722,141.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  04:00:00,3.966666666666667,-3.516666666666667,1.0482287593049415,0.0029121712861537117,57.916666666666664,100843.33333333333,2.3583333333333334,293.0,-7.486114976640039,282.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,9.0,5.0,11290.494669500884,1.262042744131161,90.7646689867902,-42.365437601946994,126.56842991967915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  05:00:00,3.7416666666666667,-2.6333333333333333,1.2088962319354968,0.0031138478499518284,62.916666666666664,100889.16666666667,2.5500000000000003,293.0,-7.584131510631607,282.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,9.0,5.0,11568.978175444887,1.26323442615615,98.63231431541998,-30.092086290410776,111.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  06:00:00,3.8166666666666664,-1.7750000000000001,1.5487053428440969,0.003318912631191738,66.75,100997.5,1.95,293.0,-7.584131510631607,282.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,9.0,5.0,12159.094132397584,1.2638337392685297,106.04689661722098,-18.058593805597386,96.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  07:00:00,3.899999999999999,-1.4000000000000001,1.7134134095754738,0.0033975314834902696,68.0,101106.66666666667,2.1666666666666665,293.0,-7.9973283512026585,280.25,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.89,8.416666666666666,5.0,12440.53016880997,1.2646603063885429,113.7243634830628,-6.472678507552925,81.56842991967913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.87792838156818 
 01/01  08:00:00,3.783333333333333,-0.9916666666666667,1.8121102985697497,0.0035122844517375983,70.91666666666667,101175.0,2.5,293.0,-8.431834249415298,278.4166666666667,32.666666666666664,140.91666666666666,0.0,0.0,9.288412370324265,18.0,13.0,16.0,7.89,8.0,5.0,12610.353396504413,1.2658159642434919,122.21271440260723,4.411177238446185,66.56842991967913,0.0,0.0,4372.002343135861,726.1188507194029,6085.883249532807,131.86010968742087,34.75482151996004,1.9769292121323903,0.2803224035394137,0.0,1.0,14.87792838156818 
 01/01  09:00:00,4.283333333333333,-1.1083333333333334,2.0412429624349255,0.00347145483369876,67.75,101235.0,2.5,293.0,-8.530905468618926,278.0,96.33333333333333,324.4166666666667,0.0,0.0,35.283554971311084,18.0,13.0,16.0,7.89,8.0,5.0,13013.573076878112,1.2643674665543168,132.03245443837946,14.240042557107586,51.568429919679126,0.0,0.0,12248.886581035678,6318.309369630463,25252.96283609138,128.3789048485072,77.63826516974946,2.0213101676771807,0.2725968246094551,0.0,1.0,14.87792838156818 
 01/01  10:00:00,4.758333333333334,-1.8666666666666665,2.0256294073394767,0.0032653625096143945,61.666666666666664,101295.0,2.033333333333333,293.0,-10.074535055121961,271.5833333333333,168.66666666666666,227.08333333333334,0.0,0.0,50.772675292166845,18.0,13.0,16.0,7.89,6.833333333333333,5.0,12976.720267110519,1.263369785219478,143.67050515548723,22.5164415878388,36.568429919679126,0.0,0.0,19673.03756070521,7859.737514625224,20898.91078392537,116.76590134989283,92.60573242673381,1.5039216589878286,0.3121549923752826,0.0,1.0,14.87792838156818 
