S,E,N,W
-120.9431028,-13.60909528,53.93947865,26.47831021
-112.975063,-25.21204788,34.08621111,-8.532888774
-55.17301637,-72.36326982,21.66701621,35.50692606
65.25433736,-9.364359302,31.30185191,81.51643568
68.11751611,66.77840833,44.133592,127.2062577
82.70381208,107.4162363,74.83900927,150.2270326
111.9770454,183.4765095,102.8062779,208.2244688
149.2129454,196.8096224,100.6534058,200.1240518
155.80342,140.5340161,62.79811573,142.9589502
167.1635848,52.98167517,35.62833716,109.818372
8.347714755,-17.94654347,24.51988122,54.72654658
-148.3435028,-11.55080518,44.93745142,13.06573554
371.145691,597.950347,631.3106283,1141.320198
