month,date,hour,S,E,N,W
1.0,1.0,1.0,0.16862389123741175,0.18073793888047704,0.19691025464926973,0.19519821750954816
1.0,1.0,2.0,0.1555321156747949,0.16755473107879573,0.18298485705495265,0.18160629515652102
1.0,1.0,3.0,0.15416564097029822,0.1648191369004833,0.17838951346858697,0.17662843293833602
1.0,1.0,4.0,0.15596177630598468,0.1668011630122665,0.18060637181546874,0.17885971153464672
1.0,1.0,5.0,0.15838536724033336,0.1694214089728998,0.18364831720725652,0.18193200360461076
1.0,1.0,6.0,0.15547129442605367,0.1663601170078673,0.17997015703157118,0.17798906447089474
1.0,1.0,7.0,0.15594247695100247,0.16693779175247891,0.180887077175085,0.17894628631182644
1.0,1.0,8.0,-0.20182853023020086,-0.40118374240376553,0.09007456373566847,0.08750667641928316
1.0,1.0,9.0,-0.7664773645925038,-0.9304536941329533,-0.01910627667116569,-0.020717721670243952
1.0,1.0,10.0,-0.7663221472372104,-0.6189178933678582,-0.09543499464309517,-0.09599428074457216
1.0,1.0,11.0,-0.4071702553741534,-0.23397442891568695,-0.11434155923730237,-0.11493372384481218
1.0,1.0,12.0,-0.5477474733298652,-0.20342187446255627,-0.17049226221186178,-0.17113633365223077
1.0,1.0,13.0,-0.8478957293082177,-0.20065738985817225,-0.20875982310504873,-0.2817328077615563
1.0,1.0,14.0,-0.8423989681790031,-0.16972354412897128,-0.18597958564972114,-0.4550179724643805
1.0,1.0,15.0,-0.8087505994417006,-0.07390079893779068,-0.09684424290947108,-0.6547307292494527
1.0,1.0,16.0,-0.5115472272050202,0.027304286041828593,-0.0005323724985723594,-0.6418407639783882
1.0,1.0,17.0,0.03948802014818798,0.1806125487631795,0.13889611214179215,0.03566415700245599
1.0,1.0,18.0,0.21807832341352665,0.21658490224946117,0.20403808817773408,0.21085647727036938
1.0,1.0,19.0,0.19757370049899123,0.20306758953865453,0.2061268875678186,0.20809620756794758
1.0,1.0,20.0,0.18970163646327337,0.19895984172643646,0.20775509437831316,0.20752623848262322
1.0,1.0,21.0,0.18629872112447643,0.19899960073210746,0.21095496407753683,0.2097992041472536
1.0,1.0,22.0,0.1876370824940094,0.19950293785174886,0.21364025304941947,0.2120124497488219
1.0,1.0,23.0,0.1850155648159105,0.19737566616499022,0.21231345284559397,0.21030558629790116
1.0,1.0,24.0,0.187443494209005,0.2003644732923572,0.2157878897125099,0.2134403589740507
1.0,2.0,1.0,0.1915425973346662,0.2036600009045385,0.22148650999793626,0.22067991334015888
1.0,2.0,2.0,0.190654626777091,0.2043926930673338,0.2228659763424977,0.22184330946497133
1.0,2.0,3.0,0.19499919561025558,0.20851266289932513,0.22739798785570678,0.2249663920683016
1.0,2.0,4.0,0.19689941616792783,0.21135725135753491,0.2317319629001555,0.2283728221374861
1.0,2.0,5.0,0.19794627376486493,0.2126344092215247,0.23279903188042042,0.22971779051554203
1.0,2.0,6.0,0.2009113689419793,0.21576613238714615,0.23679587601699187,0.2336791388872656
1.0,2.0,7.0,0.20083065928928542,0.2157648508623621,0.2364847475001997,0.233279007244912
1.0,2.0,8.0,-0.2684789107211244,-0.5325898553727202,0.12626830991181046,0.12305399784477689
1.0,2.0,9.0,-0.9443069914308885,-1.139080407579003,0.018337379223004654,0.015994212628551795
1.0,2.0,10.0,-1.6680619156039302,-1.2603162965786772,-0.011745022840744454,-0.00981399937541437
1.0,2.0,11.0,-1.9854069019893883,-0.7473685855683881,-0.07068116931758028,-0.06257190195945475
1.0,2.0,12.0,-1.9637132517347649,-0.23692568487477084,-0.14684187735806012,-0.13146401253115378
1.0,2.0,13.0,-1.539972330028697,-0.11592382518292721,-0.1758751092495792,-0.26062419367108847
1.0,2.0,14.0,-0.7791805395886915,-0.10453217054467,-0.1565434910448392,-0.39152217674458545
1.0,2.0,15.0,-0.5098883038009981,-0.049998919964355515,-0.09904330378785112,-0.44393953073490017
1.0,2.0,16.0,-0.44184265390458,0.05412361136866685,0.00012187225190458045,-0.5779004141081755
1.0,2.0,17.0,0.04765684430411573,0.19663045421956915,0.12587503187292914,0.03279821272514676
1.0,2.0,18.0,0.21661079063104444,0.2090129051728933,0.16835222225483826,0.1843841121455919
1.0,2.0,19.0,0.18994808498900753,0.1882551869477887,0.17001359052581425,0.17654388335606513
1.0,2.0,20.0,0.17340598965632795,0.17549877522439064,0.17468144120041648,0.17681548943089506
1.0,2.0,21.0,0.16452101360065077,0.16962540097789047,0.17638576409693554,0.17755413962988253
1.0,2.0,22.0,0.16055942602055306,0.16717645415441665,0.17660674473172797,0.17690755745649958
1.0,2.0,23.0,0.15898831910054462,0.16715899774760204,0.17878183150868715,0.17794802841709567
1.0,2.0,24.0,0.16023028401995637,0.16872435195070315,0.18113365068657758,0.18055582867527925
1.0,3.0,1.0,0.1638569923101825,0.17275139814305493,0.185970346095665,0.18528134471221738
1.0,3.0,2.0,0.1659010386501995,0.17534784016489713,0.18947767102694535,0.18890950267430437
1.0,3.0,3.0,0.16634940846858343,0.17617634567782914,0.19090570036602458,0.19016260721022263
1.0,3.0,4.0,0.16884507311990077,0.17905284942267505,0.1944100147328173,0.19327096213220937
1.0,3.0,5.0,0.17270048409035305,0.18333382458288863,0.19934982316123462,0.19669685313677934
1.0,3.0,6.0,0.17737691423906546,0.18846927969928542,0.20517780239162717,0.20423062206212875
1.0,3.0,7.0,0.18010994913233747,0.1912091200137079,0.20867025942961157,0.20776884947571586
1.0,3.0,8.0,-0.276929304326713,-0.5384121283738599,0.1071057283704019,0.104899042770596
1.0,3.0,9.0,-0.9196585479217535,-1.119045175718081,0.005339644830221621,0.003943276184284968
1.0,3.0,10.0,-1.3176741487734336,-1.0184062736837456,-0.07060221027928958,-0.0698936076760996
1.0,3.0,11.0,-1.2661034540066423,-0.5640228558227236,-0.16201106204097554,-0.1573208304224294
1.0,3.0,12.0,-1.222601234811251,-0.25790485191724677,-0.21511247017303298,-0.2049395017104438
1.0,3.0,13.0,-1.32549662057333,-0.17077818908957895,-0.22737207853444014,-0.30932594565166277
1.0,3.0,14.0,-1.083015909066558,-0.13927957153315418,-0.19518275528037052,-0.5254219422863088
1.0,3.0,15.0,-0.5386310729023845,-0.062316686965355944,-0.11339282060788955,-0.4544640503379108
1.0,3.0,16.0,-0.08086496654903837,0.05525688102143549,-0.008045251046939357,-0.11643406367825289
1.0,3.0,17.0,0.11910206484973195,0.13492522403919044,0.06909935531010343,0.056131749783242854
1.0,3.0,18.0,0.15168086741039477,0.1405351175841782,0.09546953615720911,0.11372981530795948
1.0,3.0,19.0,0.13795866913478755,0.1297823293140168,0.1011378918563125,0.11435702525591059
1.0,3.0,20.0,0.12538957838624995,0.12054719767983235,0.10394606764811194,0.11216050217665692
1.0,3.0,21.0,0.11048401417728544,0.10814399349586586,0.1003829103185548,0.10455889745097562
1.0,3.0,22.0,0.10320916356032016,0.10207473896534071,0.10024706557700788,0.10300590789106465
1.0,3.0,23.0,0.10399191048683722,0.10590200156489278,0.10653954473511355,0.10774686951037633
1.0,3.0,24.0,0.10709487081751683,0.11019440572161125,0.11332229623178953,0.113753039871312
1.0,4.0,1.0,0.1076894939533464,0.11061937291233055,0.11663698899499753,0.11843515937502296
1.0,4.0,2.0,0.10552667772220425,0.10869741901094464,0.11561819178316979,0.11670452826997034
1.0,4.0,3.0,0.10535453152815359,0.10943819705266687,0.11701871905936248,0.11789675020456218
1.0,4.0,4.0,0.10531996294057436,0.10941645592607141,0.11760837917650734,0.11803245503476363
1.0,4.0,5.0,0.10355421710914424,0.10781479855798158,0.1163354169012071,0.11525792342518532
1.0,4.0,6.0,0.10448086489048809,0.10977040501030205,0.11861259565472759,0.11728780804022779
1.0,4.0,7.0,0.12034396420905626,0.12811928409803203,0.13895193688178242,0.13720828727804493
1.0,4.0,8.0,0.02635879130291659,0.023934027480301222,0.049162306544108476,0.048126130185388506
1.0,4.0,9.0,-0.1768638364948384,-0.1954257226628775,-0.0625555579014757,-0.06351883065134538
1.0,4.0,10.0,-0.33254155875475994,-0.2803444313951056,-0.14377234675855555,-0.14507964956578817
1.0,4.0,11.0,-0.7153488789754983,-0.40230759761282886,-0.212546197760107,-0.21303679243173854
1.0,4.0,12.0,-0.7802346200945341,-0.2736265450844849,-0.22917754707951687,-0.22692015282024325
1.0,4.0,13.0,-0.2602213706534208,-0.13175116219272434,-0.1487460379023403,-0.15742542719005814
1.0,4.0,14.0,-0.16318343262273277,-0.10873378308122963,-0.12251445232855922,-0.1460455580568648
1.0,4.0,15.0,-0.16422512989165236,-0.08541638988966956,-0.0958571491051584,-0.1577698478007571
1.0,4.0,16.0,-0.08969261273491062,0.00506902544383785,-0.006421052673907661,-0.11435427068638801
1.0,4.0,17.0,0.025147311227761916,0.11127362249102159,0.09689997319552966,0.024200880343344493
1.0,4.0,18.0,0.1463605901360393,0.14835132528890238,0.14692842554776603,0.14954531478768018
1.0,4.0,19.0,0.14458798432776904,0.14999208136272488,0.15466636338312156,0.1552457014407661
1.0,4.0,20.0,0.14259423586693004,0.1497604333131235,0.15746130995705873,0.15687157240257127
1.0,4.0,21.0,0.14285428869265268,0.1511494044502216,0.16103075719596274,0.1600060343921912
1.0,4.0,22.0,0.1450247505556331,0.15408894765285555,0.16508665738105968,0.16366686285185852
1.0,4.0,23.0,0.1532765331202052,0.163349039935663,0.1756638724688696,0.1740291153469016
1.0,4.0,24.0,0.16140858888390647,0.17239630149727903,0.18609470850270537,0.18435386966400955
1.0,5.0,1.0,0.16598699441679493,0.177623743899636,0.1925885008089263,0.19080036842523793
1.0,5.0,2.0,0.16906846863055452,0.18112332635697223,0.19648832594121982,0.1945439608012735
1.0,5.0,3.0,0.1707298937578811,0.1830774317565531,0.1985290866676919,0.19642401422226238
1.0,5.0,4.0,0.1707938772532246,0.1832843464181608,0.19857118325347947,0.19623547744594877
1.0,5.0,5.0,0.17215550918601738,0.18490676458063468,0.20061241775892139,0.19825361929149407
1.0,5.0,6.0,0.1756623165641221,0.18877654593766524,0.2056418841625649,0.20344108687593546
1.0,5.0,7.0,0.17674767508319122,0.1899619983858403,0.2068979572002682,0.20461293626567345
1.0,5.0,8.0,-0.2539915862059691,-0.49550077701454054,0.10649143422580537,0.1040720137626435
1.0,5.0,9.0,-0.9140900518494087,-1.107998160569119,-0.008937015127330411,-0.010262387128492326
1.0,5.0,10.0,-1.3764936565357346,-1.0718692583339504,-0.07635057939809786,-0.07503024273118064
1.0,5.0,11.0,-1.258868071819551,-0.567669028770131,-0.16046192706590465,-0.15647169370172828
1.0,5.0,12.0,-1.1612352040647203,-0.26045487140251794,-0.20781792720632997,-0.2002919724992725
1.0,5.0,13.0,-0.8233345613111185,-0.15625025610241253,-0.20128820839532838,-0.25462236870730487
1.0,5.0,14.0,-0.4585862869624804,-0.10976635391338335,-0.1458589365148768,-0.27942434977826414
1.0,5.0,15.0,-0.36296375702592115,-0.05426869434681985,-0.08690097285511139,-0.319877961667687
1.0,5.0,16.0,-0.3278392339341253,0.025833695816597266,-0.007209305417513675,-0.4249507659267209
1.0,5.0,17.0,-0.01053055055385694,0.1506183452303624,0.10563609052802941,-0.06461857639183313
1.0,5.0,18.0,0.19834521727510665,0.19160324617180674,0.1684275747169743,0.17896857531022817
1.0,5.0,19.0,0.17664288815647766,0.1752656399783738,0.17136620443843173,0.17640167149717406
1.0,5.0,20.0,0.16409813550224195,0.16717386760423295,0.17160693078246947,0.17460973852047687
1.0,5.0,21.0,0.15799574695152946,0.1630129558027584,0.17120536874625383,0.1726889197276021
1.0,5.0,22.0,0.1554410940242195,0.16189016856667324,0.17246260430924265,0.1739196569228847
1.0,5.0,23.0,0.15450911012436586,0.16150040432084922,0.17327453323878672,0.1739892798886774
1.0,5.0,24.0,0.15500454882321432,0.16429726484646537,0.17951006166029523,0.17824092035756933
1.0,6.0,1.0,0.15653128956629422,0.16653034064290975,0.18312846910938577,0.18139445319954253
1.0,6.0,2.0,0.16045654781130778,0.16935587161193383,0.18485116662110182,0.18479273484442052
1.0,6.0,3.0,0.1633591037651706,0.17185370446132794,0.18711225191529607,0.18787445482518741
1.0,6.0,4.0,0.16325120411556623,0.17218859905805595,0.1876000350866816,0.18788826383715765
1.0,6.0,5.0,0.16133978935622909,0.17072930074629006,0.18616741381205565,0.18544499718218038
1.0,6.0,6.0,0.1608364177402688,0.17028491611541652,0.18587763335368407,0.18559563050366232
1.0,6.0,7.0,0.15961406329945074,0.16853681892665437,0.1844355815805016,0.18485879877622793
1.0,6.0,8.0,-0.059305748856387515,-0.14865458115042088,0.08650557858099296,0.08175195448322127
1.0,6.0,9.0,-0.1961319167330827,-0.2218251800723052,-0.006479125147889646,-0.011124220107744677
1.0,6.0,10.0,-0.2604057965531546,-0.21738191338548166,-0.07623285646637838,-0.08034583403981314
1.0,6.0,11.0,-0.15177925719667906,-0.11530142244536236,-0.08398396293612126,-0.08794343993285303
1.0,6.0,12.0,-0.0846413586974446,-0.06391756841736122,-0.055370293347119896,-0.05872081822789797
1.0,6.0,13.0,-0.07511456303127546,-0.05571597368471647,-0.04936175470710981,-0.053059655182519525
1.0,6.0,14.0,-0.06515276375179505,-0.045725861941127585,-0.03946875361855472,-0.04879261782560028
1.0,6.0,15.0,0.007050158845356736,0.013851709157756877,0.020796523044488324,0.017913327678638676
1.0,6.0,16.0,0.08618973898316215,0.09428479334778687,0.10297545515012815,0.10176842054935031
1.0,6.0,17.0,0.1063061529723627,0.11340195301336711,0.12411377501625448,0.1221728174257796
1.0,6.0,18.0,0.11219289104929138,0.11896522501829794,0.12947619845547653,0.12742639188158797
1.0,6.0,19.0,0.11426341677497787,0.11967957096717355,0.13090677597264608,0.13100733060843406
1.0,6.0,20.0,0.11281425852077225,0.11962353177360235,0.13295915895409358,0.13117990727206538
1.0,6.0,21.0,0.1100058639906228,0.11870706919593857,0.13021611739140743,0.12642678226398227
1.0,6.0,22.0,0.10899449521051328,0.11732367198582334,0.12912720949280201,0.1253897883110416
1.0,6.0,23.0,0.1083464551781583,0.11696507847265866,0.12846472222330033,0.1247455028953548
1.0,6.0,24.0,0.1090038161669393,0.11696278905033453,0.12978826009521793,0.12702363423964064
1.0,7.0,1.0,0.10952720644908627,0.11820567425921297,0.13060933347600517,0.12744520530733508
1.0,7.0,2.0,0.10801874839732685,0.11690143156700916,0.12884628043233873,0.12531559753337287
1.0,7.0,3.0,0.10737052494193246,0.11623502919765931,0.12802665970175048,0.12435047539192301
1.0,7.0,4.0,0.10750131643597614,0.11635740098792198,0.1281689976945668,0.12451890138222325
1.0,7.0,5.0,0.10949240215084538,0.1183770922683907,0.13016338659372909,0.12710712964521304
