Date/Time,1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_D953D3EA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_0B7F667A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_08C318F4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_11E4C925 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_68BA7AAA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_7ECCD044 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_7E93D547 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_B76005EF IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESE_STYLE_ROOM_35839145 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_77C40E43 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_F4CAE39C IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_BFA6F772 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_418FF2AD IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 01/01  01:00:00,2688081.4180397308,0.0,0.0,512946.8749954195,0.0,0.0,618164.0345838149,0.0,0.0,1648513.4725710046,0.0,0.0,810742.7169565028,0.0,0.0,789286.7582620855,0.0,0.0,2711435.5220520273,0.0,0.0,1061362.215756765,0.0,0.0,2894404.188317587,0.0,0.0,2134546.06683557,0.0,0.0,2433891.5078567425,0.0,0.0,1866851.2788298605,0.0,0.0,5347715.806956459,0.0,0.0 
 01/01  02:00:00,2621670.8925187048,0.0,0.0,503588.3100334814,0.0,0.0,614645.6042859307,0.0,0.0,1609257.4043137846,0.0,0.0,794699.508576181,0.0,0.0,772053.9601194859,0.0,0.0,2665492.9193393346,0.0,0.0,1058194.792536078,0.0,0.0,2816342.5662410953,0.0,0.0,2134546.06683557,0.0,0.0,2391057.09157953,0.0,0.0,1843393.4901443017,0.0,0.0,5256602.453024284,0.0,0.0 
 01/01  03:00:00,2659932.814724195,0.0,0.0,513887.9776311512,0.0,0.0,628360.9580939971,0.0,0.0,1635215.560645394,0.0,0.0,808562.4361552735,0.0,0.0,787386.404553786,0.0,0.0,2698548.787253148,0.0,0.0,1080595.0277636454,0.0,0.0,2854621.387330759,0.0,0.0,2134546.06683557,0.0,0.0,2420751.974988598,0.0,0.0,1888313.5534170663,0.0,0.0,5311373.02195487,0.0,0.0 
 01/01  04:00:00,2722482.7559919525,0.0,0.0,526894.2392377086,0.0,0.0,642112.7702531315,0.0,0.0,1666654.9497327139,0.0,0.0,826889.1279635145,0.0,0.0,807636.7183981137,0.0,0.0,2717943.173258174,0.0,0.0,1101454.3818155513,0.0,0.0,2909461.6351503227,0.0,0.0,2134546.06683557,0.0,0.0,2440010.676094801,0.0,0.0,1932915.8659309857,0.0,0.0,5349732.050984149,0.0,0.0 
 01/01  05:00:00,2759319.9471617006,0.0,0.0,535289.9091955732,0.0,0.0,654522.5650117107,0.0,0.0,1670071.00782132,0.0,0.0,832335.0782429667,0.0,0.0,824295.6863783995,0.0,0.0,2717943.173258174,0.0,0.0,1121547.7979627969,0.0,0.0,2914004.4561027517,0.0,0.0,2134546.06683557,0.0,0.0,2440010.6760948016,0.0,0.0,1962762.3066565616,0.0,0.0,5349732.050984148,0.0,0.0 
 01/01  06:00:00,2759319.947161701,0.0,0.0,535289.9091955732,0.0,0.0,656253.5939442029,0.0,0.0,1670071.0078213206,0.0,0.0,832335.0782429666,0.0,0.0,825015.8539258305,0.0,0.0,2717943.173258174,0.0,0.0,1131882.7157034776,0.0,0.0,2914004.4561027517,0.0,0.0,2134546.06683557,0.0,0.0,2440010.676094801,0.0,0.0,1963022.0090371189,0.0,0.0,5349732.050984148,0.0,0.0 
 01/01  07:00:00,2759319.9471617,0.0,0.0,535289.9091955732,0.0,0.0,656253.5939442029,0.0,0.0,1670071.00782132,0.0,0.0,832335.0782429666,0.0,0.0,825015.8539258305,0.0,0.0,2717943.1732581747,0.0,0.0,1132166.2186777121,0.0,0.0,2914004.4561027517,0.0,0.0,2134546.06683557,0.0,0.0,2440010.6760948016,0.0,0.0,1963022.0090371189,0.0,0.0,5349732.050984149,0.0,0.0 
 01/01  08:00:00,2759319.9471617006,0.0,0.0,535289.9091955733,0.0,0.0,656253.5939442028,0.0,0.0,1670071.0078213206,0.0,0.0,832335.0782429666,0.0,0.0,825015.8539258302,0.0,0.0,2717943.173258174,0.0,0.0,1132166.2186777121,0.0,0.0,2914004.4561027517,0.0,0.0,2134546.06683557,0.0,0.0,2440010.6760948016,0.0,0.0,1958976.7874134465,0.0,0.0,5349732.05098415,0.0,0.0 
 01/01  09:00:00,2759319.9471617006,0.0,0.0,534851.4208947178,0.0,0.0,656253.5939442028,0.0,0.0,1670071.0078213203,0.0,0.0,832335.0782429666,0.0,0.0,825015.8539258305,0.0,0.0,2717943.173258174,0.0,0.0,1132166.2186777121,0.0,0.0,2816012.959807661,0.0,0.0,2120054.2233365527,0.0,0.0,2383990.8963342863,0.0,0.0,1920147.7846532657,0.0,0.0,5166834.785026789,0.0,0.0 
 01/01  10:00:00,2720156.1051280997,0.0,0.0,504890.95592273027,0.0,0.0,641440.8185838576,0.0,0.0,1647771.775200216,0.0,0.0,817750.7637582663,0.0,0.0,790136.0945920025,0.0,0.0,2567882.4307133094,0.0,0.0,1127738.926854097,0.0,0.0,2452905.0610204805,0.0,0.0,1856080.0842136368,0.0,0.0,2089962.6312264737,0.0,0.0,1834755.7265804992,0.0,0.0,4489207.8703836,0.0,0.0 
 01/01  11:00:00,2523326.700700303,0.0,0.0,461613.9010079071,0.0,0.0,607110.8036579819,0.0,0.0,1504958.3713669283,0.0,0.0,750980.831642955,0.0,0.0,726929.9357327716,0.0,0.0,2210098.1408912824,0.0,0.0,1093574.783760988,0.0,0.0,2019674.1294422685,0.0,0.0,1503303.6460938484,0.0,0.0,1743715.911172294,0.0,0.0,1751418.6417040857,0.0,0.0,3700824.3777428903,0.0,0.0 
