Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,-4.675000000000001,-8.85,-5.925491373620285,0.001880939643974641,73.16666666666667,99849.16666666667,1.2249999999999999,140.83333333333334,-10.536362292208642,269.75,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,-9.749668422527899,1.2919880525517504,34.51236988892678,-66.61501654064439,165.75842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  02:00:00,-3.7916666666666665,-8.950000000000001,-5.360782431151164,0.0018763544047079473,67.5,99904.16666666667,1.5999999999999999,210.0,-8.511726971006198,278.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,869.4335705157993,1.28844258939728,59.45586080794872,-58.59924752619575,150.75842991967912,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  03:00:00,-4.791666666666667,-9.200000000000001,-6.099531893713056,0.0018135237269900236,71.16666666666667,100110.83333333333,1.6583333333333332,135.0,-9.709420497130557,273.0833333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,-295.49595451564693,1.2960444757401712,75.55667879024598,-48.502138639412955,135.75842991967914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  04:00:00,-5.758333333333333,-9.549999999999999,-6.8561160904694285,0.0017402132178700725,74.33333333333333,100300.83333333333,1.6416666666666666,135.0,-10.780893905432341,268.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,-1452.6424151115746,1.3033545554236945,87.42078449126063,-37.69490198739533,120.75842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  05:00:00,-6.766666666666667,-10.208333333333334,-7.729641600104749,0.00162801346952284,76.0,100485.0,1.1333333333333333,161.25,-11.762967356786646,264.6666666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,-2748.317957867352,1.3109241465231498,97.44085955026053,-26.773343408733382,105.7584299196791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  06:00:00,-7.391666666666667,-10.5,-8.249369125109107,0.001574445626167039,77.75,100647.5,0.7416666666666667,219.66666666666666,-12.4650126115138,261.8333333333333,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,-3511.4815721498476,1.3162441952622659,106.83650608409056,-16.083070946495788,90.75842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  07:00:00,-7.658333333333334,-10.5,-8.43120707989857,0.0015739505586848885,79.58333333333333,100692.5,0.9916666666666667,195.5,-12.818257470214727,260.4166666666667,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,0.48,10.0,5.0,-3781.4513370822583,1.3181557215681778,116.34824520963822,-5.913177233348915,75.75842991967913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.626861757720363 
 01/01  08:00:00,-7.466666666666666,-10.5,-8.278224649849227,0.00158603263849003,78.83333333333333,100650.83333333333,0.9083333333333335,65.83333333333333,-12.922423559710637,260.0,26.75,55.583333333333336,0.0,0.0,6.084468557492218,18.0,13.0,16.0,0.48,10.0,5.0,-3558.2462992663427,1.3166345424681045,126.51832726963505,3.421329672174057,60.75842991967912,0.0,1.0,3192.219030767183,152.18181305628755,1821.8034136091667,99.60647042419136,30.03031399834006,1.2559964448203706,0.23812150808791013,0.0,1.0,8.626861757720363 
 01/01  09:00:00,-6.716666666666666,-10.5,-7.744263440927739,0.0016000342609588417,74.5,100606.66666666667,0.7000000000000001,92.16666666666667,-12.485901614053821,261.75,68.58333333333333,8.08333333333333,0.0,0.0,13.978873786440829,18.0,13.0,16.0,0.48,10.0,5.0,-2767.5620405680097,1.3123240085318395,137.77677154930257,11.534766654802889,45.75842991967912,0.0,1.0,7731.364313352838,89.8005553452989,564.5265198580154,112.7946617342816,49.478156273066304,1.0374638131769331,0.2384557735350925,0.0,1.0,8.626861757720363 
 01/01  10:00:00,-5.308333333333334,-9.683333333333334,-6.589539453415519,0.0017201754801145254,70.83333333333333,100543.33333333333,0.9916666666666667,144.58333333333334,-11.598518925256514,265.3333333333333,112.75,7.916666666666667,0.0,0.0,23.058666939282645,18.0,13.0,16.0,0.48,10.0,5.0,-1048.8923783805824,1.304354013179386,150.40148411394026,17.955683545893358,30.758429919679127,0.0,1.0,12719.094830182768,154.01435966017152,477.0968285484282,112.7939430796526,57.92025781769403,1.0223872379558798,0.2580017715665715,0.0,1.0,8.626861757720363 
 01/01  11:00:00,-4.25,-9.508333333333333,-5.81969286652807,0.001768015416243252,66.5,100451.66666666667,1.2,122.16666666666667,-10.61828296130748,269.3333333333333,148.5,20.666666666666668,0.0,0.0,31.258048845472576,18.0,13.0,16.0,0.48,10.0,5.0,137.15607337761404,1.2979319778119134,164.37561432392732,22.166628316020848,15.758429919679125,0.0,1.0,16769.974214803344,544.2050860652699,1441.9247741174222,112.9390849587624,69.86014331085723,1.0513007740036624,0.2786265607254173,0.0,1.0,8.626861757720363 
