S,E,N,W
-63.81537895,62.38260899,124.6445685,95.05704907
-82.77299059,21.30465408,98.14452057,54.75356762
-113.8771963,-54.85821982,59.79004696,2.176325297
-66.77229167,-90.45070039,10.55230115,-11.90039327
12.9810526,-47.26341687,12.06697453,43.20732545
57.01664666,21.83834993,32.85485111,89.61832787
71.55345125,63.9256917,38.95514347,77.44883632
127.5157117,106.0976789,58.00688038,135.9916851
99.85332637,29.99241959,29.35579062,63.73613047
5.150711896,-7.639358415,30.64625976,46.16523698
-81.65877184,24.15702389,71.76637077,44.17992634
-74.6407622,66.30200977,121.8870719,92.81952825
-109.4664912,195.7887414,688.6707798,733.2535455
