month,date,time,month/date,Ufh,Ufc,fH,fC
1,1,1, 01/01,0.0,0.7906517659432319,1.0,0.0
1,1,2, 01/01,0.0,0.8344970068202784,1.0,0.0
1,1,3, 01/01,0.0,0.8266750050839929,1.0,0.0
1,1,4, 01/01,0.0,0.8179221489623727,1.0,0.0
1,1,5, 01/01,0.0,0.8231868562372087,1.0,0.0
1,1,6, 01/01,0.0,0.8332325831036383,1.0,0.0
1,1,7, 01/01,0.0,0.8277123995014561,1.0,0.0
1,1,8, 01/01,1.3128316107316336,0.0,1.0,0.0
1,1,9, 01/01,1.2552921593306916,0.0,1.0,0.0
1,1,10, 01/01,1.2268204808847831,0.0,1.0,0.0
1,1,11, 01/01,1.1474540480198232,0.0,1.0,0.0
1,1,12, 01/01,1.1032415408396226,0.0,1.0,0.0
1,1,13, 01/01,1.0726976787448526,0.0,1.0,0.0
1,1,14, 01/01,1.0411505976876687,0.0,1.0,0.0
1,1,15, 01/01,0.9515205274636773,0.0,1.0,0.0
1,1,16, 01/01,0.6891918433790896,0.0,1.0,0.0
1,1,17, 01/01,0.0,0.8148389523447418,1.0,0.0
1,1,18, 01/01,0.0,0.838746695900804,1.0,0.0
1,1,19, 01/01,0.0,0.8650957355532491,1.0,0.0
1,1,20, 01/01,0.0,0.8749906123073261,1.0,0.0
1,1,21, 01/01,0.0,0.8824896688956836,1.0,0.0
1,1,22, 01/01,0.0,0.8896721001549792,1.0,0.0
1,1,23, 01/01,0.0,0.8847300107316906,1.0,0.0
1,1,24, 01/01,0.0,0.8617272335166548,1.0,0.0
1,2,1, 01/02,0.0,0.8736288274525633,1.0,0.0
1,2,2, 01/02,0.0,0.8666341205311671,1.0,0.0
1,2,3, 01/02,0.0,0.8807954403736179,1.0,0.0
1,2,4, 01/02,0.0,0.8841911744006297,1.0,0.0
1,2,5, 01/02,0.0,0.8849297363380549,1.0,0.0
1,2,6, 01/02,0.0,0.8949222726203221,1.0,0.0
1,2,7, 01/02,0.0,0.8934756959817916,1.0,0.0
1,2,8, 01/02,1.102387704366786,0.0,1.0,0.0
1,2,9, 01/02,1.1067451712111525,0.0,1.0,0.0
1,2,10, 01/02,1.0709152786427891,0.0,1.0,0.0
1,2,11, 01/02,1.0318312764410993,0.0,1.0,0.0
1,2,12, 01/02,1.0034189618532172,0.0,1.0,0.0
1,2,13, 01/02,0.9730520480147072,0.0,1.0,0.0
1,2,14, 01/02,0.8973874501224919,0.0,1.0,0.0
1,2,15, 01/02,0.63772236903925,0.0,1.0,0.0
1,2,16, 01/02,0.0,0.3339324561862629,1.0,0.0
1,2,17, 01/02,0.0,0.8400644226323815,1.0,0.0
1,2,18, 01/02,0.0,0.8461815993358289,1.0,0.0
1,2,19, 01/02,0.0,0.8482001869838123,1.0,0.0
1,2,20, 01/02,0.0,0.856219807631468,1.0,0.0
1,2,21, 01/02,0.0,0.8526809475811199,1.0,0.0
1,2,22, 01/02,0.0,0.856651958655174,1.0,0.0
1,2,23, 01/02,0.0,0.8580427207375737,1.0,0.0
1,2,24, 01/02,0.0,0.864939608123749,1.0,0.0
1,3,1, 01/03,0.0,0.8578268404886973,1.0,0.0
1,3,2, 01/03,0.0,0.8572822308792755,1.0,0.0
1,3,3, 01/03,0.0,0.8622229460717648,1.0,0.0
1,3,4, 01/03,0.0,0.8671887261625874,1.0,0.0
1,3,5, 01/03,0.0,0.8703410971422085,1.0,0.0
1,3,6, 01/03,0.0,0.8820092358511379,1.0,0.0
1,3,7, 01/03,0.0,0.8853388356443344,1.0,0.0
1,3,8, 01/03,1.2440293276274474,0.0,1.0,0.0
1,3,9, 01/03,1.1922607190749173,0.0,1.0,0.0
1,3,10, 01/03,1.0838564782531384,0.0,1.0,0.0
1,3,11, 01/03,1.0339042572225308,0.0,1.0,0.0
1,3,12, 01/03,1.011015674206046,0.0,1.0,0.0
1,3,13, 01/03,0.983965093817185,0.0,1.0,0.0
1,3,14, 01/03,0.8418326718165536,0.0,1.0,0.0
1,3,15, 01/03,0.5553703157924594,0.0,1.0,0.0
1,3,16, 01/03,0.35605787446324666,0.0,1.0,0.0
1,3,17, 01/03,0.0,0.832832170057377,1.0,0.0
1,3,18, 01/03,0.0,0.859721467544037,1.0,0.0
1,3,19, 01/03,0.0,0.8714430252384,1.0,0.0
1,3,20, 01/03,0.0,0.8675267896044108,1.0,0.0
1,3,21, 01/03,0.0,0.8768405941143201,1.0,0.0
1,3,22, 01/03,0.0,0.8929844920955411,1.0,0.0
1,3,23, 01/03,0.0,0.8936331049396912,1.0,0.0
1,3,24, 01/03,0.0,0.8860107347639186,1.0,0.0
1,4,1, 01/04,0.0,0.8851557838664158,1.0,0.0
1,4,2, 01/04,0.0,0.8864410368208411,1.0,0.0
1,4,3, 01/04,0.0,0.8618591554447743,1.0,0.0
1,4,4, 01/04,0.0,0.8600436224637747,1.0,0.0
1,4,5, 01/04,0.0,0.8694233869047527,1.0,0.0
1,4,6, 01/04,0.0,0.8833309839845831,1.0,0.0
1,4,7, 01/04,0.0,0.8892410489854639,1.0,0.0
1,4,8, 01/04,0.7534143733109209,0.5982006690536354,1.0,0.0
