Date/Time,1F_HOLE_42DD345D IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_HOLE_42DD345D IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_HOLE_42DD345D IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_TOILET_4E44BD7A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_TOILET_4E44BD7A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_TOILET_4E44BD7A IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),1F_WASHROOM_6773AF9E IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),1F_WASHROOM_6773AF9E IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),1F_WASHROOM_6773AF9E IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FHOLE_C4B90F82 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FHOLE_C4B90F82 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FHOLE_C4B90F82 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),2FWASHROOM_778A762F IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),2FWASHROOM_778A762F IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),2FWASHROOM_778A762F IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BATHROOM_9F1FBF64 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BATHROOM_9F1FBF64 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BATHROOM_9F1FBF64 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),BEDROOM_B9C9289D IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),BEDROOM_B9C9289D IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),BEDROOM_B9C9289D IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),CLOSET_CC7131EC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),CLOSET_CC7131EC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),CLOSET_CC7131EC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),JAPANESESTYLEROOM_9BC0AA3B IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),JAPANESESTYLEROOM_9BC0AA3B IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),JAPANESESTYLEROOM_9BC0AA3B IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM1_19289EFA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM1_19289EFA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM1_19289EFA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KIDSROOM2_1C04A021 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KIDSROOM2_1C04A021 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KIDSROOM2_1C04A021 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),KITCHEN_3B0B7236 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),KITCHEN_3B0B7236 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),KITCHEN_3B0B7236 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly),LIVINGDINING_68F4D467 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Energy [J](Hourly),LIVINGDINING_68F4D467 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Energy [J](Hourly),LIVINGDINING_68F4D467 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Latent Cooling Energy [J](Hourly) 
 01/01  01:00:00,1495852.4830933695,0.0,0.0,293669.86819341435,0.0,0.0,302190.3599490259,0.0,0.0,926406.1253402315,0.0,0.0,460213.93233212054,0.0,0.0,425618.9810113442,0.0,0.0,1312801.6500379809,0.0,0.0,493464.24074068374,0.0,0.0,1362446.7201947726,0.0,0.0,1163595.5995683607,0.0,0.0,1174467.3574100367,0.0,0.0,978086.3813900786,0.0,0.0,2819449.1406087787,0.0,0.0 
 01/01  02:00:00,1532677.276837031,0.0,0.0,298493.3801557318,0.0,0.0,310865.1101069051,0.0,0.0,944309.2230671087,0.0,0.0,469585.35164513136,0.0,0.0,437610.7293140833,0.0,0.0,1373901.6882932794,0.0,0.0,512502.5136151912,0.0,0.0,1427854.3450546279,0.0,0.0,1197031.0036852118,0.0,0.0,1224981.6935675684,0.0,0.0,987385.6866099115,0.0,0.0,2891633.6672727903,0.0,0.0 
 01/01  03:00:00,1608551.106190609,0.0,0.0,312088.0973339273,0.0,0.0,327362.7070183071,0.0,0.0,990580.6574390191,0.0,0.0,491807.6444943374,0.0,0.0,461946.3106760598,0.0,0.0,1480314.638346218,0.0,0.0,541783.5071645499,0.0,0.0,1544443.7066789216,0.0,0.0,1270130.334442593,0.0,0.0,1320500.6871067407,0.0,0.0,1029444.875390427,0.0,0.0,3075427.2152037015,0.0,0.0 
 01/01  04:00:00,1671822.0073959506,0.0,0.0,323861.6278293358,0.0,0.0,341690.08838398376,0.0,0.0,1028187.6399608961,0.0,0.0,510343.7885546883,0.0,0.0,482524.39694942633,0.0,0.0,1567094.141808623,0.0,0.0,567037.8322986019,0.0,0.0,1643789.0332267422,0.0,0.0,1330561.9626235578,0.0,0.0,1401025.5750075446,0.0,0.0,1067277.1649517766,0.0,0.0,3231486.978324062,0.0,0.0 
 01/01  05:00:00,1715377.2776449162,0.0,0.0,332190.34643606935,0.0,0.0,353549.49890558637,0.0,0.0,1052756.5557772513,0.0,0.0,522967.3863410905,0.0,0.0,497465.18517344655,0.0,0.0,1625513.090369559,0.0,0.0,588629.1303117131,0.0,0.0,1713002.2074771768,0.0,0.0,1367556.6681282453,0.0,0.0,1455350.9214126677,0.0,0.0,1096522.2581457684,0.0,0.0,3333208.5958487215,0.0,0.0 
 01/01  06:00:00,1775146.807206891,0.0,0.0,343618.2163203076,0.0,0.0,368362.1321896331,0.0,0.0,1089248.3111454747,0.0,0.0,540617.8652627408,0.0,0.0,516501.0122467198,0.0,0.0,1702970.3518935542,0.0,0.0,613521.1631026486,0.0,0.0,1802768.173552286,0.0,0.0,1422481.8563755644,0.0,0.0,1528262.5933446195,0.0,0.0,1137432.1494025341,0.0,0.0,3481347.6387450644,0.0,0.0 
 01/01  07:00:00,1845849.3836388444,0.0,0.0,356016.73959106824,0.0,0.0,382607.36273332033,0.0,0.0,1132030.6158994588,0.0,0.0,560551.7634267971,0.0,0.0,538007.6967560741,0.0,0.0,1782293.0836529378,0.0,0.0,637542.0809589466,0.0,0.0,1880668.464467453,0.0,0.0,1472183.6027273696,0.0,0.0,1587381.3349399175,0.0,0.0,1167015.9106954911,0.0,0.0,3598602.087165399,0.0,0.0 
 01/01  08:00:00,1839884.3544556126,0.0,0.0,351129.42912483844,0.0,0.0,384551.06150468125,0.0,0.0,1121514.7413352893,0.0,0.0,556932.5582700287,0.0,0.0,534153.4130709704,0.0,0.0,1566073.0401662344,0.0,0.0,648208.8319971239,0.0,0.0,1350359.44105249,0.0,0.0,1084941.6571461856,0.0,0.0,1110474.7157126018,0.0,0.0,995114.6034943098,0.0,0.0,2396635.7614236334,0.0,0.0 
 01/01  09:00:00,1651693.3426558236,0.0,0.0,311909.4064959665,0.0,0.0,364978.3524008184,0.0,0.0,990855.0784660644,0.0,0.0,500442.15820548654,0.0,0.0,475650.7707619375,0.0,0.0,934226.7104355244,0.0,0.0,633449.0268057069,0.0,0.0,252946.239249208,0.0,0.0,247861.77978233618,0.0,0.0,199281.49299902297,0.0,0.0,753276.1792839023,0.0,0.0,346704.61927060614,0.0,0.0 
 01/01  10:00:00,1340840.0491429444,0.0,0.0,252356.6837809081,0.0,0.0,331375.15055125,0.0,0.0,783324.8092582538,0.0,0.0,408310.8242607938,0.0,0.0,385463.8045773378,0.0,0.0,169906.81591152833,0.0,0.0,600217.8924956045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582368.056540282,0.0,0.0,0.0,0.0,0.0 
 01/01  11:00:00,1029738.3039128114,0.0,0.0,196010.35604337693,0.0,0.0,298821.0704957224,0.0,0.0,585144.8099542805,0.0,0.0,316492.64365019044,0.0,0.0,301433.72966689226,0.0,0.0,0.0,0.0,0.0,565117.5942426687,0.0,0.0,0.0,147.43132879755143,0.0,0.0,63.73633255322686,0.0,0.0,59.20514178620341,0.0,560621.2314421954,0.0,0.0,0.0,274.2194353255586,0.0 
