Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Barometric Pressure [Pa](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Sky Temperature [C](Hourly),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Precipitation Rate [m/s](Hourly),Environment:Site Precipitation Depth [m](Hourly),Environment:Site Ground Reflected Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Ground Temperature [C](Hourly),Environment:Site Surface Ground Temperature [C](Hourly),Environment:Site Deep Ground Temperature [C](Hourly),Environment:Site Simple Factor Model Ground Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),Environment:Site Outdoor Air Density [kg/m3](Hourly),Environment:Site Solar Azimuth Angle [deg](Hourly),Environment:Site Solar Altitude Angle [deg](Hourly),Environment:Site Solar Hour Angle [deg](Hourly),Environment:Site Rain Status [](Hourly),Environment:Site Snow on Ground Status [](Hourly),Environment:Site Exterior Horizontal Sky Illuminance [lux](Hourly),Environment:Site Exterior Horizontal Beam Illuminance [lux](Hourly),Environment:Site Exterior Beam Normal Illuminance [lux](Hourly),Environment:Site Sky Diffuse Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Beam Solar Radiation Luminous Efficacy [lum/W](Hourly),Environment:Site Daylighting Model Sky Clearness [](Hourly),Environment:Site Daylighting Model Sky Brightness [](Hourly),Environment:Site Daylight Saving Time Status [](Hourly),Environment:Site Day Type Index [](Hourly),Environment:Site Mains Water Temperature [C](Hourly) 
 01/01  01:00:00,3.4250000000000003,-5.675000000000001,0.045989026542639144,0.0025309072846250156,52.083333333333336,100652.5,2.2083333333333335,103.33333333333333,-16.406920100476253,246.41666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.43,4.583333333333333,5.0,9787.490149443127,1.2629007295016703,43.169464419719695,-73.04418226363617,167.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.561335846939917 
 01/01  02:00:00,3.6833333333333336,-2.775,1.145234160157979,0.003125775802445746,62.916666666666664,100090.0,1.3583333333333334,37.5,-13.929125509223809,256.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.43,5.0,5.0,11539.934816552894,1.2534682349005883,69.41200515871736,-62.88097460000432,152.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.561335846939917 
 01/01  03:00:00,3.1916666666666664,-2.1666666666666665,1.052198827681643,0.0032596866416525812,67.91666666666667,100078.33333333333,1.1333333333333333,13.416666666666666,-14.225089000600937,254.83333333333334,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.43,5.0,5.0,11378.726856714173,1.2552836617303982,82.90118379085332,-51.07808028360423,137.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.561335846939917 
 01/01  04:00:00,3.0749999999999997,-1.5333333333333332,1.208837385591451,0.003416893201158304,71.75,100087.5,1.7083333333333333,9.583333333333334,-14.436906349687433,254.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.43,5.0,5.0,11654.86951332111,1.255612720702446,92.27308219279575,-38.93106763153552,122.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.561335846939917 
 01/01  05:00:00,3.0833333333333335,-1.2,1.340775378333703,0.003505375760005312,73.58333333333333,100117.5,1.8833333333333337,13.416666666666666,-14.436906349687433,254.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.43,5.0,5.0,11885.083194316832,1.2557734645677703,100.2343411043582,-26.84129287603805,107.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.561335846939917 
 01/01  06:00:00,2.65,-0.9666666666666667,1.1609897304770824,0.0035479137945529427,76.91666666666667,100258.33333333333,1.8,176.75,-15.033616832288155,251.66666666666666,0.0,0.0,0.0,0.0,0.0,18.0,13.0,16.0,7.43,5.0,5.0,11553.416817073243,1.2594309593578419,107.90861669063577,-15.041068513375782,92.32842991967914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.561335846939917 
 01/01  07:00:00,2.225,-0.7999999999999999,0.9747170955168425,0.0035833366229412714,80.16666666666667,100396.66666666667,1.45,124.25,-16.369372084160347,246.5,3.5,15.416666666666666,0.0,0.0,0.7414909357170442,18.0,13.0,16.0,7.43,4.416666666666667,5.0,11212.299712721193,1.2630428677557426,115.96175385719499,-3.7541906913751504,77.32842991967914,0.0,0.0,416.4930376309901,0.5445193015637587,40.46509157095793,19.83300179195191,0.4374604494157614,0.3155190931361918,0.07084188015676911,0.0,1.0,14.561335846939917 
 01/01  08:00:00,2.1583333333333337,-1.6749999999999998,0.6288224123641623,0.003364745626897319,75.75,100511.66666666667,2.658333333333333,176.75,-17.791476799626107,241.08333333333334,44.666666666666664,218.25,0.0,0.0,14.754247673970118,18.0,13.0,16.0,7.43,3.4166666666666665,5.0,10597.30097964225,1.265237797726196,124.931858005447,6.7380104155048075,62.32842991967914,0.0,0.0,6032.639395089551,1750.3105523538852,12096.596481280198,134.78396739180573,50.7255660976345,2.1592277266741506,0.26332411428669245,0.0,1.0,14.561335846939917 
 01/01  09:00:00,2.9583333333333335,-2.066666666666667,0.9656999499069369,0.0032704453225094235,69.66666666666667,100651.66666666667,3.2916666666666665,338.0,-18.812142877244238,237.25,87.83333333333333,496.0,0.0,0.0,45.59594275834021,18.0,13.0,16.0,7.43,2.4166666666666665,5.0,11169.846131824976,1.2635212227765453,135.32712563127657,16.04670963256174,47.328429919679145,0.0,0.0,12060.168587533779,11740.966630815909,41197.99722988257,137.10056820967745,82.2532957906135,2.7484006785511315,0.22633365262983438,0.0,1.0,14.561335846939917 
 01/01  10:00:00,4.608333333333333,-2.3666666666666667,1.8279028879578754,0.0032094134422358997,61.0,100727.5,3.408333333333333,290.8333333333333,-18.67824426613906,237.75,92.41666666666667,740.8333333333334,0.0,0.0,78.18841152703469,18.0,13.0,16.0,7.43,2.0,5.0,12684.622665956427,1.2570870942506376,147.57832862546687,23.637831766684446,32.328429919679145,0.0,0.0,13506.425455735874,28128.38101670836,69694.39807486866,146.21990557667448,93.92284726323162,4.108244644387274,0.16521232684389955,0.0,1.0,14.561335846939917 
