S,E,N,W
-200.256227902435,-10.476879816914131,66.3691067399108,12.7591173828429
-315.3537355013136,-32.8489913606971,109.54998811867439,17.210323902996652
-383.87494654735775,-102.22635479961184,133.22414923686358,37.68697660909518
-329.26352127545874,-102.69985764285208,164.69597945322127,117.80124941462391
-277.203195473164,-54.24837626153425,202.0745077202171,206.1517439632927
-207.07926095262138,36.66366211214351,265.95731476111985,309.588435480569
-85.14687658024377,196.7110684127129,373.37583563844373,505.26903765545705
55.58846471433108,361.5416032489144,470.81401704186084,680.7302156878138
180.15408000338115,456.88851504652445,525.1110524671541,805.1989342721304
295.78054987242365,484.27844982049623,550.1500775212064,879.1344868104452
266.98120442438596,478.1318843329548,575.2463721548352,905.6845191349191
64.14395566972001,476.28399496753195,625.6123125039657,901.372029865805
